# Volcado crudo Ui24R
# fecha: 2026-09-08T17:03:40.422Z
# host: 192.168.0.49
# handshake: 10483270107894192922:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10483270107894192922
# duracion objetivo: 30s
# etiqueta: ALIVE cada 1s, sin escrituras
# NOTA: esta sesion NO envio ningun SETD/SETS ni comando de mezcla. Solo framing de transporte.
# modo heartbeat: none   |   ALIVE cada: 1s (0 = nunca)

    13ms [OPEN] socket abierto (HB=none ALIVE=1s)
    14ms [CONNECT] "1::"
    56ms [MSG1] UPDATE_PLAYLIST
    56ms [MSG1] RTA^AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=
    56ms [MSG1] SETS^s.1.eq.prname^
    56ms [MSG1] SETS^s.1.name^
    56ms [MSG1] SETS^s.0.name^
    56ms [MSG1] SETS^s.0.eq.prname^
    56ms [MSG1] SETS^s.0.dyn.prname^
    56ms [MSG1] SETS^s.0.gate.prname^
    56ms [MSG1] SETS^f.3.gate.prname^
    56ms [MSG1] SETS^s.4.name^
    56ms [MSG1] SETS^s.4.dyn.prname^
    56ms [MSG1] SETS^s.4.eq.prname^
    56ms [MSG1] SETS^s.3.dyn.prname^
    56ms [MSG1] SETS^s.3.gate.prname^
    56ms [MSG1] SETS^s.3.name^
    56ms [MSG1] SETS^s.3.eq.prname^
    56ms [MSG1] SETS^s.2.name^
    56ms [MSG1] SETS^s.2.eq.prname^
    56ms [MSG1] SETS^s.2.gate.prname^
    57ms [MSG1] SETS^s.2.dyn.prname^
    57ms [MSG1] SETS^f.1.prname^
    57ms [MSG1] SETS^f.1.name^
    57ms [MSG1] SETS^f.0.eq.prname^
    57ms [MSG1] SETS^f.0.prname^Cathedral
    57ms [MSG1] SETS^f.0.gate.prname^
    57ms [MSG1] SETS^f.0.dyn.prname^
    57ms [MSG1] SETS^f.0.name^
    57ms [MSG1] SETS^l.1.iosyscmd^
    57ms [MSG1] SETS^l.1.iosysname^
    57ms [MSG1] SETS^l.1.instrument^
    57ms [MSG1] SETS^l.1.scsrc^ub.25
    57ms [MSG1] SETS^l.1.src^li.1
    57ms [MSG1] SETS^l.1.eq.prname^
    57ms [MSG1] SETS^l.1.dyn.prname^
    57ms [MSG1] SETS^l.1.gate.prname^
    57ms [MSG1] SETS^f.3.name^
    57ms [MSG1] SETS^f.3.prname^
    57ms [MSG1] SETS^f.3.dyn.prname^
    57ms [MSG1] SETS^f.3.eq.prname^
    57ms [MSG1] SETS^f.2.gate.prname^
    57ms [MSG1] SETS^f.2.dyn.prname^
    57ms [MSG1] SETS^f.2.eq.prname^
    57ms [MSG1] SETS^f.2.name^
    57ms [MSG1] SETS^f.2.prname^Basic Delay
    57ms [MSG1] SETS^f.1.dyn.prname^
    57ms [MSG1] SETS^f.1.eq.prname^
    57ms [MSG1] SETS^f.1.gate.prname^
    57ms [MSG1] SETS^p.0.gate.prname^
    57ms [MSG1] SETS^p.0.name^
    57ms [MSG1] SETS^p.0.dyn.prname^
    57ms [MSG1] SETS^p.0.eq.prname^
    57ms [MSG1] SETS^i.23.gate.prname^
    57ms [MSG1] SETS^i.23.dyn.prname^
    57ms [MSG1] SETS^i.23.name^
    57ms [MSG1] SETS^i.23.iosysname^
    57ms [MSG1] SETS^i.23.iosyscmd^
    57ms [MSG1] SETS^i.23.eq.prname^
    57ms [MSG1] SETS^i.23.instrument^
    57ms [MSG1] SETS^i.23.src^none
    57ms [MSG1] SETS^i.23.scsrc^ub.23
    57ms [MSG1] SETS^l.1.name^
    57ms [MSG1] SETS^l.0.eq.prname^
    57ms [MSG1] SETS^l.0.iosysname^
    57ms [MSG1] SETS^l.0.iosyscmd^
    57ms [MSG1] SETS^l.0.src^li.0
    57ms [MSG1] SETS^l.0.scsrc^ub.24
    57ms [MSG1] SETS^l.0.instrument^
    57ms [MSG1] SETS^l.0.gate.prname^
    57ms [MSG1] SETS^l.0.dyn.prname^
    57ms [MSG1] SETS^l.0.name^
    57ms [MSG1] SETS^p.1.eq.prname^
    57ms [MSG1] SETS^p.1.name^
    57ms [MSG1] SETS^p.1.gate.prname^
    57ms [MSG1] SETS^p.1.dyn.prname^
    57ms [MSG1] SETS^i.21.name^
    57ms [MSG1] SETS^i.20.eq.prname^
    57ms [MSG1] SETS^i.20.src^none
    57ms [MSG1] SETS^i.20.scsrc^ub.20
    57ms [MSG1] SETS^i.20.gate.prname^
    57ms [MSG1] SETS^i.20.dyn.prname^
    57ms [MSG1] SETS^i.20.iosysname^
    57ms [MSG1] SETS^i.20.iosyscmd^
    57ms [MSG1] SETS^i.20.instrument^
    57ms [MSG1] SETS^i.20.name^
    57ms [MSG1] SETS^i.19.dyn.prname^
    57ms [MSG1] SETS^i.19.eq.prname^djembe jorgito
    57ms [MSG1] SETS^i.19.gate.prname^djembe jorgito
    57ms [MSG1] SETS^i.22.dyn.prname^
    57ms [MSG1] SETS^i.22.gate.prname^
    57ms [MSG1] SETS^i.22.iosyscmd^
    57ms [MSG1] SETS^i.22.iosysname^
    57ms [MSG1] SETS^i.22.src^none
    57ms [MSG1] SETS^i.22.scsrc^ub.22
    57ms [MSG1] SETS^i.22.instrument^
    61ms [MSG2] SETS^i.22.name^
    61ms [MSG2] SETS^i.22.eq.prname^
    61ms [MSG2] SETS^i.21.gate.prname^
    61ms [MSG2] SETS^i.21.scsrc^ub.21
    61ms [MSG2] SETS^i.21.iosyscmd^
    61ms [MSG2] SETS^i.21.iosysname^
    61ms [MSG2] SETS^i.21.src^none
    61ms [MSG2] SETS^i.21.instrument^
    61ms [MSG2] SETS^i.21.dyn.prname^
    61ms [MSG2] SETS^i.21.eq.prname^
    61ms [MSG2] SETS^i.17.name^
    61ms [MSG2] SETS^i.17.eq.prname^
    61ms [MSG2] SETS^i.17.iosyscmd^
    61ms [MSG2] SETS^i.17.iosysname^
    61ms [MSG2] SETS^i.17.src^hw.17
    61ms [MSG2] SETS^i.17.scsrc^ua.17
    61ms [MSG2] SETS^i.17.instrument^
    61ms [MSG2] SETS^i.16.gate.prname^
    61ms [MSG2] SETS^i.16.dyn.prname^
    61ms [MSG2] SETS^i.16.name^
    61ms [MSG2] SETS^i.16.iosysname^
    61ms [MSG2] SETS^i.16.iosyscmd^
    61ms [MSG2] SETS^i.16.eq.prname^
    61ms [MSG2] SETS^i.16.instrument^
    61ms [MSG2] SETS^i.16.src^hw.16
    61ms [MSG2] SETS^i.16.scsrc^ua.16
    61ms [MSG2] SETS^i.15.dyn.prname^Kick Drum
    61ms [MSG2] SETS^i.15.gate.prname^
    61ms [MSG2] SETS^i.19.iosysname^
    61ms [MSG2] SETS^i.19.src^hw.19
    61ms [MSG2] SETS^i.19.scsrc^ua.19
    61ms [MSG2] SETS^i.19.instrument^
    61ms [MSG2] SETS^i.19.name^JORGITO
    61ms [MSG2] SETS^i.19.iosyscmd^
    61ms [MSG2] SETS^i.18.dyn.prname^
    61ms [MSG2] SETS^i.18.eq.prname^Djembe marcos
    61ms [MSG2] SETS^i.18.gate.prname^Djembe marcos
    61ms [MSG2] SETS^i.18.instrument^
    61ms [MSG2] SETS^i.18.src^hw.18
    61ms [MSG2] SETS^i.18.scsrc^ua.18
    61ms [MSG2] SETS^i.18.name^DJEMBE MARCOS
    61ms [MSG2] SETS^i.18.iosysname^
    61ms [MSG2] SETS^i.18.iosyscmd^
    61ms [MSG2] SETS^i.17.dyn.prname^
    61ms [MSG2] SETS^i.17.gate.prname^
    61ms [MSG2] SETS^i.13.src^hw.13
    61ms [MSG2] SETS^i.13.scsrc^ua.13
    61ms [MSG2] SETS^i.13.instrument^
    61ms [MSG2] SETS^i.13.name^
    61ms [MSG2] SETS^i.13.iosyscmd^
    61ms [MSG2] SETS^i.13.iosysname^
    61ms [MSG2] SETS^i.13.dyn.prname^
    61ms [MSG2] SETS^i.13.eq.prname^
    61ms [MSG2] SETS^i.12.src^hw.12
    61ms [MSG2] SETS^i.12.scsrc^ua.12
    61ms [MSG2] SETS^i.12.eq.prname^Voz gab
    61ms [MSG2] SETS^i.12.iosysname^
    61ms [MSG2] SETS^i.12.iosyscmd^
    61ms [MSG2] SETS^i.12.instrument^
    61ms [MSG2] SETS^i.12.dyn.prname^
    61ms [MSG2] SETS^i.12.gate.prname^Voz gab
    61ms [MSG2] SETS^i.12.name^VOZ BRUNO
    61ms [MSG2] SETS^i.15.iosyscmd^
    61ms [MSG2] SETS^i.15.iosysname^
    61ms [MSG2] SETS^i.15.name^DJEMBES
    61ms [MSG2] SETS^i.15.src^hw.15
    61ms [MSG2] SETS^i.15.scsrc^ua.15
    61ms [MSG2] SETS^i.15.instrument^
    61ms [MSG2] SETS^i.15.eq.prname^
    61ms [MSG2] SETS^i.14.gate.prname^
    61ms [MSG2] SETS^i.14.iosysname^
    61ms [MSG2] SETS^i.14.iosyscmd^
    61ms [MSG2] SETS^i.14.instrument^
    61ms [MSG2] SETS^i.14.src^hw.14
    61ms [MSG2] SETS^i.14.scsrc^ua.14
    61ms [MSG2] SETS^i.14.name^MARACA
    61ms [MSG2] SETS^i.14.dyn.prname^Male Vocal
    61ms [MSG2] SETS^i.14.eq.prname^
    61ms [MSG2] SETS^i.13.gate.prname^
    61ms [MSG2] SETS^i.9.eq.prname^
    61ms [MSG2] SETS^i.9.dyn.prname^Kick Drum
    61ms [MSG2] SETS^i.9.gate.prname^
    61ms [MSG2] SETS^i.9.iosyscmd^
    61ms [MSG2] SETS^i.9.iosysname^
    61ms [MSG2] SETS^i.9.src^hw.9
    61ms [MSG2] SETS^i.9.scsrc^ua.9
    61ms [MSG2] SETS^i.9.instrument^
    61ms [MSG2] SETS^i.9.name^BOMBO
    61ms [MSG2] SETS^i.8.dyn.prname^
    61ms [MSG2] SETS^i.8.eq.prname^Voz bruno
    61ms [MSG2] SETS^i.8.gate.prname^Voz bruno
    61ms [MSG2] SETS^i.8.instrument^
    61ms [MSG2] SETS^i.8.src^hw.8
    61ms [MSG2] SETS^i.8.scsrc^ua.8
