# Volcado crudo Ui24R
# fecha: 2026-09-08T17:00:25.941Z
# host: 192.168.0.49
# handshake: 10815005726458572105:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10815005726458572105
# duracion objetivo: 20s
# NOTA: esta sesion no envio ningun comando de escritura. Solo heartbeat "2::".

    13ms [OPEN] socket abierto
    14ms [CONNECT] "1::"
    64ms [MSG1] UPDATE_PLAYLIST
    64ms [MSG1] RTA^AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=
    64ms [MSG1] SETS^s.1.eq.prname^
    64ms [MSG1] SETS^s.1.name^
    64ms [MSG1] SETS^s.0.name^
    64ms [MSG1] SETS^s.0.eq.prname^
    64ms [MSG1] SETS^s.0.dyn.prname^
    65ms [MSG1] SETS^s.0.gate.prname^
    65ms [MSG1] SETS^f.3.gate.prname^
    65ms [MSG1] SETS^s.4.name^
    65ms [MSG1] SETS^s.4.dyn.prname^
    65ms [MSG1] SETS^s.4.eq.prname^
    65ms [MSG1] SETS^s.3.dyn.prname^
    65ms [MSG1] SETS^s.3.gate.prname^
    65ms [MSG1] SETS^s.3.name^
    65ms [MSG1] SETS^s.3.eq.prname^
    65ms [MSG1] SETS^s.2.name^
    65ms [MSG1] SETS^s.2.eq.prname^
    65ms [MSG1] SETS^s.2.gate.prname^
    65ms [MSG1] SETS^s.2.dyn.prname^
    65ms [MSG1] SETS^f.1.prname^
    65ms [MSG1] SETS^f.1.name^
    65ms [MSG1] SETS^f.0.eq.prname^
    65ms [MSG1] SETS^f.0.prname^Cathedral
    65ms [MSG1] SETS^f.0.gate.prname^
    65ms [MSG1] SETS^f.0.dyn.prname^
    65ms [MSG1] SETS^f.0.name^
    65ms [MSG1] SETS^l.1.iosyscmd^
    65ms [MSG1] SETS^l.1.iosysname^
    65ms [MSG1] SETS^l.1.instrument^
    65ms [MSG1] SETS^l.1.scsrc^ub.25
    65ms [MSG1] SETS^l.1.src^li.1
    65ms [MSG1] SETS^l.1.eq.prname^
    65ms [MSG1] SETS^l.1.dyn.prname^
    65ms [MSG1] SETS^l.1.gate.prname^
    65ms [MSG1] SETS^f.3.name^
    65ms [MSG1] SETS^f.3.prname^
    65ms [MSG1] SETS^f.3.dyn.prname^
    65ms [MSG1] SETS^f.3.eq.prname^
    65ms [MSG1] SETS^f.2.gate.prname^
    65ms [MSG1] SETS^f.2.dyn.prname^
    65ms [MSG1] SETS^f.2.eq.prname^
    65ms [MSG1] SETS^f.2.name^
    65ms [MSG1] SETS^f.2.prname^Basic Delay
    65ms [MSG1] SETS^f.1.dyn.prname^
    65ms [MSG1] SETS^f.1.eq.prname^
    65ms [MSG1] SETS^f.1.gate.prname^
    65ms [MSG1] SETS^p.0.gate.prname^
    65ms [MSG1] SETS^p.0.name^
    65ms [MSG1] SETS^p.0.dyn.prname^
    65ms [MSG1] SETS^p.0.eq.prname^
    65ms [MSG1] SETS^i.23.gate.prname^
    65ms [MSG1] SETS^i.23.dyn.prname^
    65ms [MSG1] SETS^i.23.name^
    65ms [MSG1] SETS^i.23.iosysname^
    65ms [MSG1] SETS^i.23.iosyscmd^
    65ms [MSG1] SETS^i.23.eq.prname^
    65ms [MSG1] SETS^i.23.instrument^
    65ms [MSG1] SETS^i.23.src^none
    65ms [MSG1] SETS^i.23.scsrc^ub.23
    65ms [MSG1] SETS^l.1.name^
    65ms [MSG1] SETS^l.0.eq.prname^
    65ms [MSG1] SETS^l.0.iosysname^
    65ms [MSG1] SETS^l.0.iosyscmd^
    65ms [MSG1] SETS^l.0.src^li.0
    65ms [MSG1] SETS^l.0.scsrc^ub.24
    65ms [MSG1] SETS^l.0.instrument^
    65ms [MSG1] SETS^l.0.gate.prname^
    65ms [MSG1] SETS^l.0.dyn.prname^
    65ms [MSG1] SETS^l.0.name^
    65ms [MSG1] SETS^p.1.eq.prname^
    65ms [MSG1] SETS^p.1.name^
    65ms [MSG1] SETS^p.1.gate.prname^
    65ms [MSG1] SETS^p.1.dyn.prname^
    65ms [MSG1] SETS^i.21.name^
    65ms [MSG1] SETS^i.20.eq.prname^
    65ms [MSG1] SETS^i.20.src^none
    65ms [MSG1] SETS^i.20.scsrc^ub.20
    65ms [MSG1] SETS^i.20.gate.prname^
    65ms [MSG1] SETS^i.20.dyn.prname^
    65ms [MSG1] SETS^i.20.iosysname^
    65ms [MSG1] SETS^i.20.iosyscmd^
    65ms [MSG1] SETS^i.20.instrument^
    65ms [MSG1] SETS^i.20.name^
    65ms [MSG1] SETS^i.19.dyn.prname^
