# Medición archivada por tools/spikes/medir.mjs
# fecha: 2026-09-12T13:07:07.133Z
# comando: node --experimental-strip-types tools/spikes/p0-10b-vu/leyes-del-compresor.ts 10 192.168.0.78
# guion: tools/spikes/p0-10b-vu/leyes-del-compresor.ts sha256:c677b606d13b127a
#
# Esta es LA MISMA corrida que se vio en pantalla. No se transcribió a mano.
# La huella es del guion tal como estaba al correr: si hoy no coincide, el
# archivo es de otra version y lo que diga de si mismo no vale.

canal 10 (i.9), tono de 1000 Hz
escalon del medidor de reduccion: 0.6668 dB
piso del medidor de reduccion:    0.984 dB
razon para la rodilla: crudo 0.1 = 10:1
supresor del general: estaba en 1, se apaga para medir

--- tono a -1 dBFS: pre = -37.66 dB, reduccion en reposo = 0.00 dB, n=41 ---
crudo umbral | pre (testigo) | reduccion | n
       0.950 |        -37.66 |      0.00 |  43
       0.940 |        -37.66 |      0.00 |  40
       0.930 |        -37.66 |      0.00 |  43
       0.920 |        -37.66 |      0.00 |  42
       0.910 |        -37.66 |      0.00 |  42
       0.900 |        -37.66 |      0.00 |  42
       0.890 |        -37.66 |      0.00 |  41
       0.880 |        -37.66 |      0.00 |  41
       0.870 |        -37.66 |      0.00 |  42
       0.860 |        -37.66 |      0.00 |  42
       0.850 |        -37.66 |      0.00 |  42
       0.840 |        -37.66 |      0.00 |  43
       0.830 |        -37.66 |      0.00 |  41
       0.820 |        -37.66 |      0.00 |  40
       0.810 |        -37.66 |      0.00 |  40
       0.800 |        -37.66 |      0.00 |  40
       0.790 |        -37.66 |      0.00 |  39
       0.780 |        -37.66 |      0.00 |  39
       0.770 |        -37.66 |      0.00 |  40
       0.760 |        -37.66 |      0.00 |  40
       0.750 |        -37.66 |      0.00 |  41
       0.740 |        -37.66 |      0.00 |  41
       0.730 |        -37.66 |      0.00 |  42
       0.720 |        -37.66 |      0.00 |  41
       0.710 |        -37.66 |      0.00 |  40
       0.700 |        -37.66 |      0.00 |  39
       0.690 |        -37.66 |      0.00 |  41
       0.680 |        -37.66 |      0.00 |  42
       0.670 |        -37.66 |      0.00 |  42
       0.660 |        -37.66 |      0.00 |  41
       0.650 |        -37.66 |      0.00 |  43
       0.640 |        -37.66 |      0.00 |  41
       0.630 |        -37.66 |      0.00 |  42
       0.620 |        -37.66 |      0.00 |  43
       0.610 |        -37.66 |      0.00 |  42
       0.600 |        -37.66 |      0.00 |  42
       0.590 |        -37.66 |      0.00 |  41
       0.580 |        -37.66 |      0.00 |  41
       0.570 |        -37.66 |      0.00 |  42
       0.560 |        -37.66 |      0.00 |  42
       0.550 |        -37.66 |      0.00 |  42
       0.540 |        -37.66 |      0.00 |  40
       0.530 |        -37.66 |      0.98 |  41
  rodilla bajando: 0.530
  rodilla subiendo: 0.540

--- tono a -31 dBFS: pre = -67.31 dB, reduccion en reposo = 0.00 dB, n=41 ---
crudo umbral | pre (testigo) | reduccion | n
       0.950 |        -67.31 |      0.00 |  40
       0.940 |        -67.32 |      0.00 |  41
       0.930 |        -67.31 |      0.00 |  42
       0.920 |        -67.33 |      0.00 |  40
       0.910 |        -67.31 |      0.00 |  41
       0.900 |        -67.33 |      0.00 |  42
       0.890 |        -67.33 |      0.00 |  40
       0.880 |        -67.33 |      0.00 |  40
       0.870 |        -67.33 |      0.00 |  43
       0.860 |        -67.33 |      0.00 |  42
       0.850 |        -67.33 |      0.00 |  40
       0.840 |        -67.32 |      0.00 |  40
       0.830 |        -67.32 |      0.00 |  42
       0.820 |        -67.32 |      0.00 |  41
       0.810 |        -67.32 |      0.00 |  41
       0.800 |        -67.32 |      0.00 |  46
       0.790 |        -67.32 |      0.00 |  43
       0.780 |        -67.31 |      0.00 |  41
       0.770 |        -67.33 |      0.00 |  41
       0.760 |        -67.33 |      0.00 |  41
       0.750 |        -67.33 |      0.00 |  41
       0.740 |        -67.32 |      0.00 |  40
       0.730 |        -67.33 |      0.00 |  41
       0.720 |        -67.33 |      0.00 |  42
       0.710 |        -67.31 |      0.00 |  40
       0.700 |        -67.33 |      0.00 |  42
