# Trabajo 3 — cambios de estado observados
# inicio: 2026-09-08T17:37:56.876Z  duracion: 420s
# NADA se escribio desde esta sesion. Los controles los movio una persona
# desde la interfaz web de la consola en http://192.168.0.49/mixer.html

--- 14:38:00  volcado inicial asentado: 6665 claves. A partir de aca, solo cambios ---
14:38:08  SETS^var.currentSnapshot^Prueba asistente    (antes: Alma caninde)
14:38:54  SETD^i.0.mix^0.4131477793    (antes: 0.4116964004)
14:38:54  SETD^i.0.mix^0.4160505369    (antes: 0.4131477793)
14:38:54  SETD^i.0.mix^0.4204046733    (antes: 0.4160505369)
14:38:54  SETD^i.0.mix^0.4233074309    (antes: 0.4204046733)
14:38:54  SETD^i.0.mix^0.4247588097    (antes: 0.4233074309)
14:38:54  SETD^i.0.mix^0.4262101885    (antes: 0.4247588097)
14:38:54  SETD^i.0.mix^0.4276615674    (antes: 0.4262101885)
14:38:54  SETD^i.0.mix^0.4291129462    (antes: 0.4276615674)
14:38:54  SETD^i.0.mix^0.430564325    (antes: 0.4291129462)
14:38:54  SETD^i.0.mix^0.4320157038    (antes: 0.430564325)
14:38:54  SETD^i.0.mix^0.4334670826    (antes: 0.4320157038)
14:38:54  SETD^i.0.mix^0.4349184614    (antes: 0.4334670826)
14:38:55  SETD^i.0.mix^0.4363698402    (antes: 0.4349184614)
14:38:55  SETD^i.0.mix^0.437821219    (antes: 0.4363698402)
14:38:55  SETD^i.0.mix^0.4392725978    (antes: 0.437821219)
14:38:55  SETD^i.0.mix^0.4407239766    (antes: 0.4392725978)
14:38:55  SETD^i.0.mix^0.4421753555    (antes: 0.4407239766)
14:38:55  SETD^i.0.mix^0.4436267343    (antes: 0.4421753555)
14:38:55  SETD^i.0.mix^0.4450781131    (antes: 0.4436267343)
14:38:55  SETD^i.0.mix^0.4465294919    (antes: 0.4450781131)
14:38:55  SETD^i.0.mix^0.4479808707    (antes: 0.4465294919)
14:38:55  SETD^i.0.mix^0.4494322495    (antes: 0.4479808707)
14:38:55  SETD^i.0.mix^0.4508836283    (antes: 0.4494322495)
14:38:55  SETD^i.0.mix^0.4523350071    (antes: 0.4508836283)
14:38:55  SETD^i.0.mix^0.4537863859    (antes: 0.4523350071)
14:38:55  SETD^i.0.mix^0.4552377647    (antes: 0.4537863859)
14:38:55  SETD^i.0.mix^0.4566891436    (antes: 0.4552377647)
14:38:55  SETD^i.0.mix^0.4595919012    (antes: 0.4566891436)
14:38:55  SETD^i.0.mix^0.4624946588    (antes: 0.4595919012)
14:38:55  SETD^i.0.mix^0.4639460376    (antes: 0.4624946588)
14:38:55  SETD^i.0.mix^0.4653974164    (antes: 0.4639460376)
14:38:55  SETD^i.0.mix^0.4668487952    (antes: 0.4653974164)
14:38:55  SETD^i.0.mix^0.468300174    (antes: 0.4668487952)
14:38:55  SETD^i.0.mix^0.4697515528    (antes: 0.468300174)
14:38:55  SETD^i.0.mix^0.4712029317    (antes: 0.4697515528)
14:38:55  SETD^i.0.mix^0.4726543105    (antes: 0.4712029317)
14:38:55  SETD^i.0.mix^0.4741056893    (antes: 0.4726543105)
14:38:55  SETD^i.0.mix^0.4755570681    (antes: 0.4741056893)
14:38:56  SETD^i.0.mix^0.4770084469    (antes: 0.4755570681)
14:38:56  SETD^i.0.mix^0.4784598257    (antes: 0.4770084469)
14:38:56  SETD^i.0.mix^0.4799112045    (antes: 0.4784598257)
14:38:56  SETD^i.0.mix^0.4813625833    (antes: 0.4799112045)
14:38:56  SETD^i.0.mix^0.4828139621    (antes: 0.4813625833)
14:38:56  SETD^i.0.mix^0.4842653409    (antes: 0.4828139621)
14:38:56  SETD^i.0.mix^0.4857167198    (antes: 0.4842653409)
14:38:56  SETD^i.0.mix^0.4871680986    (antes: 0.4857167198)
14:38:56  SETD^i.0.mix^0.4886194774    (antes: 0.4871680986)
14:38:56  SETD^i.0.mix^0.4900708562    (antes: 0.4886194774)
14:38:56  SETD^i.0.mix^0.491522235    (antes: 0.4900708562)
14:38:57  SETD^i.0.mix^0.4929736138    (antes: 0.491522235)
14:38:57  SETD^i.0.mix^0.4944249926    (antes: 0.4929736138)
14:38:57  SETD^i.0.mix^0.4958763714    (antes: 0.4944249926)
14:38:57  SETD^i.0.mix^0.4973277502    (antes: 0.4958763714)
14:38:57  SETD^i.0.mix^0.498779129    (antes: 0.4973277502)
14:38:57  SETD^i.0.mix^0.5002305079    (antes: 0.498779129)
14:38:57  SETD^i.0.mix^0.5016818867    (antes: 0.5002305079)
14:38:57  SETD^i.0.mix^0.5031332655    (antes: 0.5016818867)
14:38:57  SETD^i.0.mix^0.5045846443    (antes: 0.5031332655)
14:38:57  SETD^i.0.mix^0.5060360231    (antes: 0.5045846443)
14:38:58  SETD^i.0.mix^0.5074874019    (antes: 0.5060360231)
14:38:58  SETD^i.0.mix^0.5089387807    (antes: 0.5074874019)
14:38:58  SETD^i.0.mix^0.5103901595    (antes: 0.5089387807)
14:38:58  SETD^i.0.mix^0.5118415383    (antes: 0.5103901595)
14:38:58  SETD^i.0.mix^0.5132929171    (antes: 0.5118415383)
14:38:59  SETD^i.0.mix^0.514744296    (antes: 0.5132929171)
14:38:59  SETD^i.0.mix^0.5161956748    (antes: 0.514744296)
14:38:59  SETD^i.0.mix^0.5176470536    (antes: 0.5161956748)
14:38:59  SETD^i.0.mix^0.5190984324    (antes: 0.5176470536)
14:38:59  SETD^i.0.mix^0.5205498112    (antes: 0.5190984324)
14:38:59  SETD^i.0.mix^0.52200119    (antes: 0.5205498112)
14:38:59  SETD^i.0.mix^0.5234525688    (antes: 0.52200119)
14:38:59  SETD^i.0.mix^0.5249039476    (antes: 0.5234525688)
14:38:59  SETD^i.0.mix^0.5263553264    (antes: 0.5249039476)
14:38:59  SETD^i.0.mix^0.5278067052    (antes: 0.5263553264)
14:38:59  SETD^i.0.mix^0.529258084    (antes: 0.5278067052)
14:38:59  SETD^i.0.mix^0.5307094629    (antes: 0.529258084)
14:38:59  SETD^i.0.mix^0.5321608417    (antes: 0.5307094629)
14:38:59  SETD^i.0.mix^0.5336122205    (antes: 0.5321608417)
14:38:59  SETD^i.0.mix^0.5350635993    (antes: 0.5336122205)
14:38:59  SETD^i.0.mix^0.5365149781    (antes: 0.5350635993)
14:39:00  SETD^i.0.mix^0.5379663569    (antes: 0.5365149781)
14:39:00  SETD^i.0.mix^0.5394177357    (antes: 0.5379663569)
14:39:00  SETD^i.0.mix^0.5408691145    (antes: 0.5394177357)
14:39:00  SETD^i.0.mix^0.5423204933    (antes: 0.5408691145)
14:39:00  SETD^i.0.mix^0.5437718721    (antes: 0.5423204933)
14:39:00  SETD^i.0.mix^0.545223251    (antes: 0.5437718721)
14:39:00  SETD^i.0.mix^0.5466746298    (antes: 0.545223251)
14:39:00  SETD^i.0.mix^0.5481260086    (antes: 0.5466746298)
14:39:00  SETD^i.0.mix^0.5495773874    (antes: 0.5481260086)
14:39:00  SETD^i.0.mix^0.5510287662    (antes: 0.5495773874)
14:39:00  SETD^i.0.mix^0.552480145    (antes: 0.5510287662)
14:39:00  SETD^i.0.mix^0.5539315238    (antes: 0.552480145)
14:39:00  SETD^i.0.mix^0.5553829026    (antes: 0.5539315238)
14:39:01  SETD^i.0.mix^0.5568342814    (antes: 0.5553829026)
14:39:01  SETD^i.0.mix^0.5582856602    (antes: 0.5568342814)
14:39:01  SETD^i.0.mix^0.5597370391    (antes: 0.5582856602)
14:39:01  SETD^i.0.mix^0.5611884179    (antes: 0.5597370391)
14:39:01  SETD^i.0.mix^0.5626397967    (antes: 0.5611884179)
14:39:01  SETD^i.0.mix^0.5640911755    (antes: 0.5626397967)
14:39:01  SETD^i.0.mix^0.5655425543    (antes: 0.5640911755)
14:39:01  SETD^i.0.mix^0.5669939331    (antes: 0.5655425543)
